promoId,model,pn,productCodeType,saleMode,validationStatus,validationErrors,sourceFile,sourceSheet,sourceRow
ACC-ERR-R96,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,96
ACC-ERR-R97,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,97
ACC-ERR-R98,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,98
ACC-ERR-R99,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,99
ACC-ERR-R100,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,100
ACC-ERR-R101,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,101
ACC-ERR-R102,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,102
ACC-ERR-R103,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,103
ACC-ERR-R104,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,104
ACC-ERR-R105,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,105
ACC-ERR-R106,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,106
ACC-ERR-R107,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,107
ACC-ERR-R108,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,108
ACC-ERR-R109,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,109
ACC-ERR-R110,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,110
ACC-ERR-R111,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,111
ACC-ERR-R112,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,112
ACC-ERR-R113,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,113
ACC-ERR-R114,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,114
ACC-ERR-R115,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,115
ACC-ERR-R116,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,116
