Variant ID,P/N,Model,Source Formula Col E,Source Formula Col G,Cached Value Col E,Cached Value Col G,Displayed Value,Error Type,Net Price,Price Display Text,Status,Error Code
ACC-ERR-R95,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R96,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R97,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R98,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R99,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R100,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R101,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R102,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R103,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R104,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R105,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R106,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R107,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R108,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R109,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R110,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R111,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R112,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R113,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R114,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R115,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R116,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R117,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R118,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R119,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R120,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R121,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R122,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R123,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R124,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R125,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R126,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R127,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
