Variant ID,P/N,Model,RRP,Discount Type,Discount Value,Net Price,Coupon,Sale Mode,Companion Requirement,Status,Source Row,Calculation Audit
STOCK-R213-MBO,SM-L705FZB1THL,Samsung Galaxy Watch Ultra 2025,24900.0,PERCENT,8715,16185.0,03,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,213,"RRP (24,900) - Disc (8,715) = Net (16,185) [OK]"
STOCK-R214-MBO,SM-L705FZA1THL,,24900.0,PERCENT,8715,16185.0,03,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,214,"RRP (24,900) - Disc (8,715) = Net (16,185) [OK]"
STOCK-R215-MBO,SM-L705FZS1THL,,24900.0,PERCENT,8715,16185.0,03,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,215,"RRP (24,900) - Disc (8,715) = Net (16,185) [OK]"
STOCK-R216-MBO,SM-L715FZKATHL,Samsung Galaxy Watch Ultra2,25900.0,PERCENT,7770,18130.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,216,"RRP (25,900) - Disc (7,770) = Net (18,130) [OK]"
STOCK-R217-MBO,SM-L715FZSATHL,,25900.0,PERCENT,7770,18130.0,-,MBO,ต้องซื้อคู่สมาร์ทโฟนที่กำหนดในวันเดียวกัน,WARNING,217,"RRP (25,900) - Disc (7,770) = Net (18,130) [OK]"
STOCK-R220-REDEMPTION,EF-DX920UBEGTH,Tab S10Ultra Book Cover Keyboard Slim,6990.0,PERCENT,3495,3495.0,02,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,220,"RRP (6,990) - Disc (3,495) = Net (3,495) [OK]"
STOCK-R221-REDEMPTION,EF-DX820UBEGTH,Tab S10Plus Book Cover Keyboard Slim,5990.0,PERCENT,2995,2995.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,221,"RRP (5,990) - Disc (2,995) = Net (2,995) [OK]"
STOCK-R222-REDEMPTION,EF-BX810PBEGWW,Tab S9Plus S10Plus Smart Book Cover,2990.0,PERCENT,1495,1495.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,222,"RRP (2,990) - Disc (1,495) = Net (1,495) [OK]"
STOCK-R223-REDEMPTION,EF-BX810PLEGWW,Tab S9Plus S10Plus Smart Book Cover,2990.0,PERCENT,1495,1495.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,223,"RRP (2,990) - Disc (1,495) = Net (1,495) [OK]"
STOCK-R224-REDEMPTION,GP-FCX828NNABH,Tab S10Plus Neos Pogo Keyboard Cover,3990.0,PERCENT,1995,1995.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,224,"RRP (3,990) - Disc (1,995) = Net (1,995) [OK]"
STOCK-R225-REDEMPTION,EF-DX620UBEGTH,Tab S10FE Plus (AI) Book Cover Keyboard Slim,5990.0,PERCENT,2995,2995.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,225,"RRP (5,990) - Disc (2,995) = Net (2,995) [OK]"
STOCK-R228-REDEMPTION,EF-DX720UBEGTH,Tab S9(AI) Book Cover Keyboard,4990.0,PERCENT,2495,2495.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,228,"RRP (4,990) - Disc (2,495) = Net (2,495) [OK]"
STOCK-R229-REDEMPTION,EF-DX710UBEGTH,Tab S9 Book Cover Keyboard,4990.0,PERCENT,2495,2495.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,229,"RRP (4,990) - Disc (2,495) = Net (2,495) [OK]"
STOCK-R230-REDEMPTION,EF-BX710PBEGWW,Tab S9 Smart Book Cover,2490.0,PERCENT,1245,1245.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,230,"RRP (2,490) - Disc (1,245) = Net (1,245) [OK]"
STOCK-R232-REDEMPTION,EF-BX210TBEGWW,Tab A9 Plus Book cover,1390.0,PERCENT,695,695.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,232,"RRP (1,390) - Disc (695) = Net (695) [OK]"
STOCK-R233-REDEMPTION,EF-BX210TWEGWW,,1390.0,PERCENT,695,695.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,233,"RRP (1,390) - Disc (695) = Net (695) [OK]"
STOCK-R234-REDEMPTION,EF-BX210TLEGWW,,1390.0,PERCENT,695,695.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,234,"RRP (1,390) - Disc (695) = Net (695) [OK]"
STOCK-R235-REDEMPTION,EF-BX110TBEGWW,Tab A9 Book cover,990.0,PERCENT,495,495.0,-,REDEMPTION,ซื้อพร้อมแท็บเล็ต,WARNING,235,RRP (990) - Disc (495) = Net (495) [OK]
