variantId,model,ram,storage,connectivity,productCodeType,saleMode,rrp,standardDiscount,sfPlusDiscount,studentDiscount,tradeUpDiscount,netPrice,priceCoupon,studentCoupon,tradeUpCode,sfPlusEligible,tradeUpEligible,studentEligible,startDate,endDate,sourceBadge,sourceFileDisplayName,sourceSheet,sourceRow,headerPath,validationStatus
RET-อัพเดท-R9-SF_PLUS,Galaxy S26,N/A,512GB,Standard,STANDARD_SM,SF_PLUS,41900.0,0,12000.0,0,0,29900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,9,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R10-SF_PLUS,Galaxy S26,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,33900.0,0,6000.0,0,0,27900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,10,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R11-SF_PLUS,Galaxy S25 Ultra,N/A,256GB,Standard,PASS_F,SF_PLUS,42900.0,0,12000.0,0,0,30900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,11,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R12-SF_PLUS,Galaxy S26 FE  NEW,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,28900.0,0,4000.0,0,0,24900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,12,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R14-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,Standard,STANDARD_SM,SF_PLUS,26900.0,0,3000.0,0,0,23900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R14-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,256GB,Standard,STANDARD_SM,STUDENT,26900.0,0,0,4035,0,22865.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,14,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R15-SF_PLUS,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,Standard,STANDARD_SM,SF_PLUS,22900.0,0,3000.0,0,0,19900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R15-STUDENT,"Galaxy S25 FE
(ร่วม SF+)",N/A,128GB,Standard,STANDARD_SM,STUDENT,22900.0,0,0,3435,0,19465.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,15,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R16-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,256GB,Standard,STANDARD_SM,STANDARD_PAYMENT,26900.0,6000.0,0,0,0,20900.0,02,,,NO,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,16,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R17-STANDARD_PAYMENT,"Galaxy S25 FE
(ไม่ร่วม SF+)",N/A,128GB,Standard,STANDARD_SM,STANDARD_PAYMENT,22900.0,5000.0,0,0,0,17900.0,02,,,NO,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,17,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R18-TRADEUP,Galaxy Z Fold8 Ultra,N/A,1TB,Standard,STANDARD_SM,TRADE_UP,93900.0,0,0,0,7000.0,86900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,18,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R19-TRADEUP,Galaxy Z Fold8 Ultra,N/A,512GB,Standard,STANDARD_SM,TRADE_UP,77900.0,0,0,0,5000.0,72900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,19,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R20-TRADEUP,Galaxy Z Fold8 Ultra,N/A,256GB,Standard,STANDARD_SM,TRADE_UP,69900.0,0,0,0,5000.0,64900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,20,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R21-TRADEUP,Galaxy Z Fold8,N/A,1TB,Standard,STANDARD_SM,TRADE_UP,85900.0,0,0,0,7000.0,78900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,21,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
